freq (Hz),leafValue( HF_I "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB),freq (Hz),leafValue( GD "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ),freq (Hz),leafValue( NF "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB)
35.60E6,-16.66,35.69E6,5.097E-9, , 
35.69E6,-16.76,35.78E6,5.064E-9, , 
35.78E6,-16.87,35.87E6,5.032E-9, , 
35.87E6,-16.97,35.96E6,5.000E-9, , 
35.96E6,-17.08,36.05E6,4.968E-9, , 
36.05E6,-17.18,36.14E6,4.937E-9, , 
36.14E6,-17.28,36.23E6,4.907E-9, , 
36.23E6,-17.38,36.32E6,4.876E-9, , 
36.32E6,-17.49,36.41E6,4.846E-9, , 
36.41E6,-17.59,36.50E6,4.817E-9, , 
36.50E6,-17.69,36.59E6,4.788E-9, , 
36.59E6,-17.79,36.68E6,4.759E-9, , 
36.68E6,-17.89,36.77E6,4.731E-9, , 
36.77E6,-17.99,36.86E6,4.703E-9, , 
36.86E6,-18.09,36.95E6,4.675E-9, , 
36.95E6,-18.19,37.04E6,4.648E-9, , 
37.04E6,-18.29,37.13E6,4.621E-9, , 
37.13E6,-18.39,37.22E6,4.594E-9, , 
37.22E6,-18.48,37.31E6,4.568E-9, , 
37.31E6,-18.58,37.40E6,4.542E-9, , 
37.40E6,-18.68,37.49E6,4.516E-9, , 
37.49E6,-18.77,37.58E6,4.491E-9, , 
37.58E6,-18.87,37.67E6,4.466E-9, , 
37.67E6,-18.97,37.76E6,4.442E-9, , 
37.76E6,-19.06,37.85E6,4.417E-9, , 
37.85E6,-19.16,37.94E6,4.393E-9, , 
37.94E6,-19.25,38.03E6,4.369E-9, , 
38.03E6,-19.34,38.12E6,4.346E-9, , 
38.12E6,-19.44,38.21E6,4.323E-9, , 
38.21E6,-19.53,38.30E6,4.300E-9, , 
38.30E6,-19.62,38.39E6,4.277E-9, , 
38.39E6,-19.72,38.48E6,4.255E-9, , 
38.48E6,-19.81,38.57E6,4.233E-9, , 
38.57E6,-19.90,38.66E6,4.211E-9, , 
38.66E6,-19.99,38.75E6,4.190E-9, , 
38.75E6,-20.08,38.84E6,4.168E-9, , 
38.84E6,-20.17,38.93E6,4.147E-9, , 
38.93E6,-20.26,39.02E6,4.127E-9, , 
39.02E6,-20.35,39.11E6,4.106E-9, , 
39.11E6,-20.44,39.20E6,4.086E-9, , 
39.20E6,-20.53,39.29E6,4.066E-9, , 
39.29E6,-20.62,39.38E6,4.046E-9, , 
39.38E6,-20.71,39.47E6,4.026E-9, , 
39.47E6,-20.80,39.56E6,4.007E-9, , 
39.56E6,-20.88,39.65E6,3.988E-9, , 
39.65E6,-20.97,39.74E6,3.969E-9, , 
39.74E6,-21.06,39.83E6,3.950E-9, , 
39.83E6,-21.14,39.92E6,3.932E-9, , 
39.92E6,-21.23,40.01E6,3.913E-9, , 
40.01E6,-21.32,40.10E6,3.895E-9, , 
40.10E6,-21.40,40.19E6,3.877E-9, , 
40.19E6,-21.49,40.28E6,3.860E-9, , 
40.28E6,-21.57,40.37E6,3.842E-9, , 
40.37E6,-21.66,40.46E6,3.825E-9, , 
40.46E6,-21.74,40.55E6,3.808E-9, , 
40.55E6,-21.83,40.64E6,3.791E-9, , 
40.64E6,-21.91,40.73E6,3.774E-9, , 
40.73E6,-21.99,40.82E6,3.758E-9, , 
40.82E6,-22.07,40.91E6,3.742E-9, , 
40.91E6,-22.16,41.00E6,3.725E-9, , 
41.00E6,-22.24,41.09E6,3.709E-9, , 
41.09E6,-22.32,41.18E6,3.694E-9, , 
41.18E6,-22.40,41.27E6,3.678E-9, , 
41.27E6,-22.48,41.36E6,3.663E-9, , 
41.36E6,-22.57,41.45E6,3.647E-9, , 
41.45E6,-22.65,41.54E6,3.632E-9, , 
41.54E6,-22.73,41.63E6,3.617E-9, , 
41.63E6,-22.81,41.72E6,3.603E-9, , 
41.72E6,-22.89,41.81E6,3.588E-9, , 
41.81E6,-22.97,41.90E6,3.573E-9, , 
41.90E6,-23.05,41.99E6,3.559E-9, , 
41.99E6,-23.12,42.08E6,3.545E-9, , 
42.08E6,-23.20,42.17E6,3.531E-9, , 
42.17E6,-23.28,42.26E6,3.517E-9, , 
42.26E6,-23.36,42.35E6,3.503E-9, , 
42.35E6,-23.44,42.44E6,3.490E-9, , 
42.44E6,-23.51,42.53E6,3.476E-9, , 
42.53E6,-23.59,42.62E6,3.463E-9, , 
42.62E6,-23.67,42.71E6,3.450E-9, , 
42.71E6,-23.75,42.80E6,3.437E-9, , 
42.80E6,-23.82,42.89E6,3.424E-9, , 
42.89E6,-23.90,42.98E6,3.411E-9, , 
42.98E6,-23.97,43.07E6,3.399E-9, , 
43.07E6,-24.05,43.16E6,3.386E-9, , 
43.16E6,-24.12,43.25E6,3.374E-9, , 
43.25E6,-24.20,43.34E6,3.362E-9, , 
43.34E6,-24.27,43.43E6,3.349E-9, , 
43.43E6,-24.35,43.52E6,3.338E-9, , 
43.52E6,-24.42,43.61E6,3.326E-9, , 
43.61E6,-24.50,43.70E6,3.314E-9, , 
43.70E6,-24.57,43.79E6,3.302E-9, , 
43.79E6,-24.64,43.88E6,3.291E-9, , 
43.88E6,-24.72,43.97E6,3.279E-9, , 
43.97E6,-24.79,44.06E6,3.268E-9, , 
44.06E6,-24.86,44.15E6,3.257E-9, , 
44.15E6,-24.93,44.24E6,3.246E-9, , 
44.24E6,-25.01,44.33E6,3.235E-9, , 
44.33E6,-25.08,44.42E6,3.224E-9, , 
44.42E6,-25.15,44.51E6,3.214E-9, , 
44.51E6,-25.22,44.60E6,3.203E-9, , 
44.60E6,-25.29,44.69E6,3.192E-9, , 
44.69E6,-25.36,44.78E6,3.182E-9, , 
44.78E6,-25.43,44.87E6,3.172E-9, , 
44.87E6,-25.50,44.96E6,3.162E-9, , 
44.96E6,-25.57,45.05E6,3.152E-9, , 
45.05E6,-25.64,45.14E6,3.142E-9, , 
45.14E6,-25.71,45.23E6,3.132E-9, , 
45.23E6,-25.78,45.32E6,3.122E-9, , 
45.32E6,-25.85,45.41E6,3.112E-9, , 
45.41E6,-25.92,45.50E6,3.103E-9, , 
45.50E6,-25.99,45.59E6,3.093E-9, , 
45.59E6,-26.06,45.68E6,3.084E-9, , 
45.68E6,-26.13,45.77E6,3.074E-9, , 
45.77E6,-26.20,45.86E6,3.065E-9, , 
45.86E6,-26.26,45.95E6,3.056E-9, , 
45.95E6,-26.33,46.04E6,3.047E-9, , 
46.04E6,-26.40,46.13E6,3.038E-9, , 
46.13E6,-26.46,46.22E6,3.029E-9, , 
46.22E6,-26.53,46.31E6,3.020E-9, , 
46.31E6,-26.60,46.40E6,3.012E-9, , 
46.40E6,-26.66,46.49E6,3.003E-9, , 
46.49E6,-26.73,46.58E6,2.994E-9, , 
46.58E6,-26.80,46.67E6,2.986E-9, , 
46.67E6,-26.86,46.76E6,2.978E-9, , 
46.76E6,-26.93,46.85E6,2.969E-9, , 
