freq (Hz),leafValue( HF_I "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB),freq (Hz),leafValue( GD "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ),freq (Hz),leafValue( NF "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB)
15.89E6,20.79,15.98E6,116.6E-9, , 
15.98E6,20.72,16.07E6,118.0E-9, , 
16.07E6,20.63,16.16E6,119.1E-9, , 
16.16E6,20.51,16.25E6,119.8E-9, , 
16.25E6,20.38,16.34E6,120.0E-9, , 
16.34E6,20.22,16.43E6,119.6E-9, , 
16.43E6,20.04,16.52E6,118.7E-9, , 
16.52E6,19.83,16.61E6,117.2E-9, , 
16.61E6,19.61,16.70E6,115.2E-9, , 
16.70E6,19.36,16.79E6,112.7E-9, , 
16.79E6,19.08,16.88E6,109.8E-9, , 
16.88E6,18.79,16.97E6,106.5E-9, , 
16.97E6,18.48,17.06E6,102.9E-9, , 
17.06E6,18.15,17.15E6,99.04E-9, , 
17.15E6,17.81,17.24E6,95.08E-9, , 
17.24E6,17.46,17.33E6,91.04E-9, , 
17.33E6,17.10,17.42E6,86.99E-9, , 
17.42E6,16.72,17.51E6,82.98E-9, , 
17.51E6,16.35,17.60E6,79.04E-9, , 
17.60E6,15.97,17.69E6,75.22E-9, , 
17.69E6,15.58,17.78E6,71.52E-9, , 
17.78E6,15.19,17.87E6,67.98E-9, , 
17.87E6,14.81,17.96E6,64.60E-9, , 
17.96E6,14.42,18.05E6,61.38E-9, , 
18.05E6,14.04,18.14E6,58.33E-9, , 
18.14E6,13.66,18.23E6,55.45E-9, , 
18.23E6,13.28,18.32E6,52.74E-9, , 
18.32E6,12.90,18.41E6,50.18E-9, , 
18.41E6,12.53,18.50E6,47.77E-9, , 
18.50E6,12.16,18.59E6,45.51E-9, , 
18.59E6,11.80,18.68E6,43.39E-9, , 
18.68E6,11.44,18.77E6,41.40E-9, , 
18.77E6,11.08,18.86E6,39.52E-9, , 
18.86E6,10.74,18.95E6,37.77E-9, , 
18.95E6,10.39,19.04E6,36.11E-9, , 
19.04E6,10.05,19.13E6,34.56E-9, , 
19.13E6,9.717,19.22E6,33.10E-9, , 
19.22E6,9.388,19.31E6,31.73E-9, , 
19.31E6,9.063,19.40E6,30.44E-9, , 
19.40E6,8.744,19.49E6,29.22E-9, , 
19.49E6,8.429,19.58E6,28.08E-9, , 
19.58E6,8.119,19.67E6,27.00E-9, , 
19.67E6,7.814,19.76E6,25.98E-9, , 
19.76E6,7.514,19.85E6,25.02E-9, , 
19.85E6,7.218,19.94E6,24.11E-9, , 
19.94E6,6.926,20.03E6,23.25E-9, , 
20.03E6,6.639,20.12E6,22.43E-9, , 
20.12E6,6.356,20.21E6,21.66E-9, , 
20.21E6,6.077,20.30E6,20.93E-9, , 
20.30E6,5.802,20.39E6,20.23E-9, , 
20.39E6,5.532,20.48E6,19.57E-9, , 
20.48E6,5.265,20.57E6,18.95E-9, , 
20.57E6,5.002,20.66E6,18.35E-9, , 
20.66E6,4.743,20.75E6,17.79E-9, , 
20.75E6,4.487,20.84E6,17.25E-9, , 
20.84E6,4.236,20.93E6,16.73E-9, , 
20.93E6,3.987,21.02E6,16.24E-9, , 
21.02E6,3.742,21.11E6,15.77E-9, , 
21.11E6,3.500,21.20E6,15.33E-9, , 
21.20E6,3.262,21.29E6,14.90E-9, , 
21.29E6,3.027,21.38E6,14.49E-9, , 
21.38E6,2.794,21.47E6,14.10E-9, , 
21.47E6,2.565,21.56E6,13.73E-9, , 
21.56E6,2.339,21.65E6,13.37E-9, , 
21.65E6,2.116,21.74E6,13.03E-9, , 
21.74E6,1.895,21.83E6,12.70E-9, , 
21.83E6,1.677,21.92E6,12.38E-9, , 
21.92E6,1.462,22.01E6,12.08E-9, , 
22.01E6,1.250,22.10E6,11.79E-9, , 
22.10E6,1.040,22.19E6,11.51E-9, , 
22.19E6,832.8E-3,22.28E6,11.24E-9, , 
22.28E6,628.0E-3,22.37E6,10.98E-9, , 
22.37E6,425.6E-3,22.46E6,10.73E-9, , 
22.46E6,225.5E-3,22.55E6,10.49E-9, , 
22.55E6,27.81E-3,22.64E6,10.26E-9, , 
22.64E6,-167.7E-3,22.73E6,10.03E-9, , 
22.73E6,-360.9E-3,22.82E6,9.817E-9, , 
22.82E6,-552.0E-3,22.91E6,9.610E-9, , 
22.91E6,-741.0E-3,23.00E6,9.409E-9, , 
23.00E6,-927.8E-3,23.09E6,9.216E-9, , 
23.09E6,-1.113,23.18E6,9.029E-9, , 
23.18E6,-1.296,23.27E6,8.848E-9, , 
23.27E6,-1.476,23.36E6,8.673E-9, , 
23.36E6,-1.655,23.45E6,8.504E-9, , 
23.45E6,-1.832,23.54E6,8.341E-9, , 
23.54E6,-2.008,23.63E6,8.183E-9, , 
23.63E6,-2.181,23.72E6,8.029E-9, , 
23.72E6,-2.353,23.81E6,7.881E-9, , 
23.81E6,-2.523,23.90E6,7.737E-9, , 
23.90E6,-2.691,23.99E6,7.598E-9, , 
23.99E6,-2.858,24.08E6,7.462E-9, , 
24.08E6,-3.022,24.17E6,7.331E-9, , 
24.17E6,-3.186,24.26E6,7.204E-9, , 
24.26E6,-3.347,24.35E6,7.081E-9, , 
24.35E6,-3.508,24.44E6,6.961E-9, , 
24.44E6,-3.666,24.53E6,6.844E-9, , 
24.53E6,-3.823,24.62E6,6.731E-9, , 
24.62E6,-3.979,24.71E6,6.622E-9, , 
24.71E6,-4.133,24.80E6,6.515E-9, , 
24.80E6,-4.286,24.89E6,6.411E-9, , 
24.89E6,-4.437,24.98E6,6.310E-9, , 
24.98E6,-4.587,25.07E6,6.212E-9, , 
25.07E6,-4.736,25.16E6,6.116E-9, , 
25.16E6,-4.884,25.25E6,6.023E-9, , 
25.25E6,-5.030,25.34E6,5.933E-9, , 
25.34E6,-5.174,25.43E6,5.844E-9, , 
25.43E6,-5.318,25.52E6,5.758E-9, , 
25.52E6,-5.460,25.61E6,5.675E-9, , 
25.61E6,-5.601,25.70E6,5.593E-9, , 
25.70E6,-5.741,25.79E6,5.514E-9, , 
25.79E6,-5.880,25.88E6,5.436E-9, , 
25.88E6,-6.017,25.97E6,5.361E-9, , 
25.97E6,-6.154,26.06E6,5.287E-9, , 
26.06E6,-6.289,26.15E6,5.215E-9, , 
26.15E6,-6.423,26.24E6,5.145E-9, , 
26.24E6,-6.556,26.33E6,5.076E-9, , 
26.33E6,-6.688,26.42E6,5.009E-9, , 
26.42E6,-6.819,26.51E6,4.944E-9, , 
26.51E6,-6.949,26.60E6,4.880E-9, , 
26.60E6,-7.078,26.69E6,4.818E-9, , 
26.69E6,-7.205,26.78E6,4.757E-9, , 
26.78E6,-7.332,26.87E6,4.698E-9, , 
26.87E6,-7.458,26.96E6,4.640E-9, , 
26.96E6,-7.583,27.05E6,4.583E-9, , 
27.05E6,-7.707,27.14E6,4.527E-9, , 
27.14E6,-7.830,27.23E6,4.473E-9, , 
27.23E6,-7.952,27.32E6,4.420E-9, , 
27.32E6,-8.073,27.41E6,4.368E-9, , 
27.41E6,-8.193,27.50E6,4.317E-9, , 
27.50E6,-8.313,27.59E6,4.268E-9, , 
27.59E6,-8.431,27.68E6,4.219E-9, , 
27.68E6,-8.549,27.77E6,4.171E-9, , 
27.77E6,-8.666,27.86E6,4.125E-9, , 
27.86E6,-8.782,27.95E6,4.079E-9, , 
27.95E6,-8.897,28.04E6,4.034E-9, , 
28.04E6,-9.011,28.13E6,3.990E-9, , 
28.13E6,-9.125,28.22E6,3.948E-9, , 
28.22E6,-9.237,28.31E6,3.905E-9, , 
28.31E6,-9.349,28.40E6,3.864E-9, , 
28.40E6,-9.460,28.49E6,3.824E-9, , 
28.49E6,-9.571,28.58E6,3.784E-9, , 
28.58E6,-9.680,28.67E6,3.746E-9, , 
28.67E6,-9.789,28.76E6,3.708E-9, , 
28.76E6,-9.897,28.85E6,3.670E-9, , 
28.85E6,-10.00,28.94E6,3.634E-9, , 
28.94E6,-10.11,29.03E6,3.598E-9, , 
29.03E6,-10.22,29.12E6,3.563E-9, , 
29.12E6,-10.32,29.21E6,3.528E-9, , 
29.21E6,-10.43,29.30E6,3.494E-9, , 
29.30E6,-10.53,29.39E6,3.461E-9, , 
29.39E6,-10.63,29.48E6,3.429E-9, , 
29.48E6,-10.74,29.57E6,3.397E-9, , 
29.57E6,-10.84,29.66E6,3.365E-9, , 
29.66E6,-10.94,29.75E6,3.334E-9, , 
29.75E6,-11.04,29.84E6,3.304E-9, , 
29.84E6,-11.14,29.93E6,3.274E-9, , 
29.93E6,-11.24,30.02E6,3.245E-9, , 
30.02E6,-11.34,30.11E6,3.217E-9, , 
30.11E6,-11.44,30.20E6,3.188E-9, , 
30.20E6,-11.53,30.29E6,3.161E-9, , 
30.29E6,-11.63,30.38E6,3.134E-9, , 
30.38E6,-11.73,30.47E6,3.107E-9, , 
30.47E6,-11.82,30.56E6,3.081E-9, , 
30.56E6,-11.92,30.65E6,3.055E-9, , 
30.65E6,-12.01,30.74E6,3.029E-9, , 
30.74E6,-12.11,30.83E6,3.004E-9, , 
30.83E6,-12.20,30.92E6,2.980E-9, , 
30.92E6,-12.29,31.01E6,2.956E-9, , 
31.01E6,-12.39,31.10E6,2.932E-9, , 
31.10E6,-12.48,31.19E6,2.909E-9, , 
31.19E6,-12.57,31.28E6,2.886E-9, , 
31.28E6,-12.66,31.37E6,2.863E-9, , 
31.37E6,-12.75,31.46E6,2.841E-9, , 
31.46E6,-12.84,31.55E6,2.820E-9, , 
31.55E6,-12.93,31.64E6,2.798E-9, , 
31.64E6,-13.02,31.73E6,2.777E-9, , 
31.73E6,-13.11,31.82E6,2.756E-9, , 
31.82E6,-13.19,31.91E6,2.736E-9, , 
31.91E6,-13.28,32.00E6,2.716E-9, , 
32.00E6,-13.37,32.09E6,2.696E-9, , 
32.09E6,-13.45,32.18E6,2.676E-9, , 
32.18E6,-13.54,32.27E6,2.657E-9, , 
32.27E6,-13.62,32.36E6,2.638E-9, , 
32.36E6,-13.71,32.45E6,2.620E-9, , 
32.45E6,-13.79,32.54E6,2.601E-9, , 
32.54E6,-13.88,32.63E6,2.583E-9, , 
32.63E6,-13.96,32.72E6,2.566E-9, , 
32.72E6,-14.04,32.81E6,2.548E-9, , 
32.81E6,-14.13,32.90E6,2.531E-9, , 
32.90E6,-14.21,32.99E6,2.514E-9, , 
32.99E6,-14.29,33.08E6,2.497E-9, , 
33.08E6,-14.37,33.17E6,2.481E-9, , 
33.17E6,-14.45,33.26E6,2.465E-9, , 
33.26E6,-14.53,33.35E6,2.449E-9, , 
33.35E6,-14.61,33.44E6,2.433E-9, , 
